Achin,Nangarhar,Afghanistan,0
Adraskan,Herat,Afghanistan,1
‘Alam Lek,Jowzjan,Afghanistan,2
‘Ali Khel,Paktia,Afghanistan,3
Amurd,Badakhshan,Afghanistan,4
Anar Darreh,Farah,Afghanistan,5
Andkhvoy,Faryab,Afghanistan,6
Andowj,Badakhshan,Afghanistan,7
Aqcheh,Jowzjan,Afghanistan,8
Aq Kopruk,Sar-e Pol,Afghanistan,9
Asadabad,Konar,Afghanistan,10
Asmar,Konar,Afghanistan,11
Aybak,Samangan,Afghanistan,12
Baba Vali Saheb,Kandahar,Afghanistan,13
Badrao,Parvan,Afghanistan,14
Baghlan,Baghlan,Afghanistan,15
Baghlin,Sar-e Pol,Afghanistan,16
Baghran Khowleh,Helmand,Afghanistan,17
Bahram Chah,Helmand,Afghanistan,18
Bailugh,Zabol,Afghanistan,19
Bala Bagh,Nangarhar,Afghanistan,20
Bala Morghab,Badghis,Afghanistan,21
Balkh,Balkh,Afghanistan,22
Bamian,Bamian,Afghanistan,23
Band,Ghazni,Afghanistan,24
Banow,Baghlan,Afghanistan,25
Baraki Barak,Lowgar,Afghanistan,26
Barg-e Matal,Konar,Afghanistan,27
Barghanak,Herat,Afghanistan,28
Bari Gav,Ghazni,Afghanistan,29
Barikowt,Konar,Afghanistan,30
Batsawul,Nangarhar,Afghanistan,31
Bazar-e Panjva'i,Kandahar,Afghanistan,32
Belcheragh,Faryab,Afghanistan,33
Biabanak,Helmand,Afghanistan,34
Boyni Qara,Balkh,Afghanistan,35
'Chaghcharan,Ghowr,Afghanistan,36
Chahar Bagh,Faryab,Afghanistan,37
Chahar Bagh,Takhar,Afghanistan,38
Chahar Borjak,Nimruz,Afghanistan,39
Chahar Deh-ye Ghowrband,Parvan,Afghanistan,40
Chakhansur,Nimruz,Afghanistan,41
Chamkani,Paktia,Afghanistan,42
Charikar,Parvan,Afghanistan,43
Chehel Dokhtaran,Herat,Afghanistan,44
Chelik-e Yas Khan,Jowzjan,Afghanistan,45
Chesht-e Sharif,Herat,Afghanistan,46
Dahaneh-ye Ghowri,Baghlan,Afghanistan,47
Dahaneh-ye Kashar,Sar-e Pol,Afghanistan,48
Dahan-e Qowmghi,Ghowr,Afghanistan,49
Dand,Kandahar,Afghanistan,50
Darakht-e Yahyá,Paktika,Afghanistan,51
Darvazahgêy,Zabol,Afghanistan,52
Darzab,Sar-e Pol,Afghanistan,53
Daulatabad (Shirin Tagao),Faryab,Afghanistan,54
Deh Bala,Nangarhar,Afghanistan,55
Delaram,Nimruz,Afghanistan,56
Deshu,Helmand,Afghanistan,57
Diwal Qol,Vardak,Afghanistan,58
Do Ab-e Mikh-e Zarrin,Bamian,Afghanistan,59
Dowlatabad,Balkh,Afghanistan,60
Dowlatabad,Faryab,Afghanistan,61
Dowlat Yar,Ghowr,Afghanistan,62
Dowshi,Baghlan,Afghanistan,63
Eshkashem,Badakhshan,Afghanistan,64
Eslam Qal‘eh,Herat,Afghanistan,65
Farah,Farah,Afghanistan,66
Farsi,Herat,Afghanistan,67
Feyzabad,Badakhshan,Afghanistan,68
Gardez,Paktia,Afghanistan,69
Garm Ab,Helmand,Afghanistan,70
Gereshk,Helmand,Afghanistan,71
Ghazni,Ghazni,Afghanistan,72
Ghurian,Herat,Afghanistan,73
Gizab,Oruzgan,Afghanistan,74
Golran,Herat,Afghanistan,75
Gowmal Kalay,Paktika,Afghanistan,76
Hazareh Toghay,Balkh,Afghanistan,77
Herat,Herat,Afghanistan,78
Jabal os Saraj,Parvan,Afghanistan,79
Jaidak,Zabol,Afghanistan,80
Jalalabad,Nangarhar,Afghanistan,81
Jorm,Badakhshan,Afghanistan,82
Kaboul > Kabul,Kabol,Afghanistan,83
Kabul,Kabol,Afghanistan,84
Kal Qal‘eh,Farah,Afghanistan,85
Kamdesh,Konar,Afghanistan,86
Kariz-e Elyas,Herat,Afghanistan,87
Karokh,Herat,Afghanistan,88
Khanabad,Kondoz,Afghanistan,89
Khash,Nimruz,Afghanistan,90
Khenjan,Konar,Afghanistan,91
Khevaj,Badakhshan,Afghanistan,92
Kheyr Khaneh,Badghis,Afghanistan,93
Khivach,Badakhshan,Afghanistan,94
Kholm,Balkh,Afghanistan,95
Khowst,Paktia,Afghanistan,96
Khugiani Šani,Kandahar,Afghanistan,97
Khvajeh Ra'uf,Ghowr,Afghanistan,98
Kohsan,Herat,Afghanistan,99
Konar-e Khas,Konar,Afghanistan,100
Koshk-e Kohneh,Badghis,Afghanistan,101
Kowt-e ‘Ashrow,Vardak,Afghanistan,102
Kuchnay Darvishan,Helmand,Afghanistan,103
Kugas,Badakhshan,Afghanistan,104
Landay,Helmand,Afghanistan,105
Langar,Badakhshan,Afghanistan,106
Lar Gerd,Sar-e Pol,Afghanistan,107
Lash-e Joveyn,Farah,Afghanistan,108
Lashkar Gah,Helmand,Afghanistan,109
Mahmud-e ‘Eraqi,Kapisa,Afghanistan,110
Malek Din,Ghazni,Afghanistan,111
Mandel,Herat,Afghanistan,112
Marghi,Bamian,Afghanistan,113
Ma‘Rut,Kandahar,Afghanistan,114
Mashuray,Paktika,Afghanistan,115
Mazar-e Sharif,Balkh,Afghanistan,116
Mehtar Lam,Laghman,Afghanistan,117
Mengeh Jek,Jowzjan,Afghanistan,118
Meydan Kalay,Zabol,Afghanistan,119
Meydan Khvolah,Paktia,Afghanistan,120
Meymaneh,Faryab,Afghanistan,121
Mirabad,Nimruz,Afghanistan,122
Mir Bachcheh Kut,Kabol,Afghanistan,123
Mogor,Ghazni,Afghanistan,124
Musá Qal‘eh,Helmand,Afghanistan,125
Narin Ghar,Baghlan,Afghanistan,126
Nawah,Ghazni,Afghanistan,127
Nayak,Bamian,Afghanistan,128
Now Zad,Helmand,Afghanistan,129
Orgun,Paktika,Afghanistan,130
Oruzgan (Qala-i-Hazar Qadam),Oruzgan,Afghanistan,131
Owbeh,Herat,Afghanistan,132
Paghman,Kabol,Afghanistan,133
Panjab,Bamian,Afghanistan,134
Peshin Jan,Farah,Afghanistan,135
Pol-e Khomri,Baghlan,Afghanistan,136
Porchaman,Farah,Afghanistan,137
Qala-i-Hazar Qadam > Oruzgan,Oruzgan,Afghanistan,138
Qalat,Zabol,Afghanistan,139
Qal‘eh Kah,Farah,Afghanistan,140
Qal‘eh Shahr,Sar-e Pol,Afghanistan,141
Qal‘eh-ye Now,Badghis,Afghanistan,142
Qal‘eh-ye Now,Bamian,Afghanistan,143
Qal‘eh-ye Panjeh,Badakhshan,Afghanistan,144
Qal‘eh-ye Saber,Lowgar,Afghanistan,145
Qal‘eh-ye Sarkari,Samangan,Afghanistan,146
Qandahar,Kandahar,Afghanistan,147
Qarah Bagh,Herat,Afghanistan,148
Qaravol,Kondoz,Afghanistan,149
Qarqin,Jowzjan,Afghanistan,150
