Africa/Abidjan,0,0,CI,0
Africa/Accra,0,0,GH,1
Africa/Addis_Ababa,3,0,ET,2
Africa/Algiers,1,0,DZ,3
Africa/Asmara,3,0,ER,4
Africa/Bamako,0,0,ML,5
Africa/Bangui,1,0,CF,6
Africa/Banjul,0,0,GM,7
Africa/Bissau,0,0,GW,8
Africa/Blantyre,2,0,MW,9
Africa/Brazzaville,1,0,CG,10
Africa/Bujumbura,2,0,BI,11
Africa/Cairo,2,0,EG,12
Africa/Casablanca,0,0,MA,13
Africa/Ceuta,1,1,ES,14
Africa/Conakry,0,0,GN,15
Africa/Dakar,0,0,SN,16
Africa/Dar_es_Salaam,3,0,TZ,17
Africa/Djibouti,3,0,DJ,18
Africa/Douala,1,0,CM,19
Africa/El_Aaiun,0,0,EH,20
Africa/Freetown,0,0,SL,21
Africa/Gaborone,2,0,BW,22
Africa/Harare,2,0,ZW,23
Africa/Johannesburg,2,0,ZA,24
Africa/Juba,3,0,SS,25
Africa/Kampala,3,0,UG,26
Africa/Khartoum,3,0,SD,27
Africa/Kigali,2,0,RW,28
Africa/Kinshasa,1,0,CD,29
Africa/Lagos,1,0,NG,30
Africa/Libreville,1,0,GA,31
Africa/Lome,0,0,TG,32
Africa/Luanda,1,0,AO,33
Africa/Lubumbashi,2,0,CD,34
Africa/Lusaka,2,0,ZM,35
Africa/Malabo,1,0,GQ,36
Africa/Maputo,2,0,MZ,37
Africa/Maseru,2,0,LS,38
Africa/Mbabane,2,0,SZ,39
Africa/Mogadishu,3,0,SO,40
Africa/Monrovia,0,0,LR,41
Africa/Nairobi,3,0,KE,42
Africa/Ndjamena,1,0,TD,43
Africa/Niamey,1,0,NE,44
Africa/Nouakchott,0,0,MR,45
Africa/Ouagadougou,0,0,BF,46
Africa/Porto-Novo,1,0,BJ,47
Africa/Sao_Tome,0,0,ST,48
Africa/Tripoli,2,0,LY,49
Africa/Tunis,1,0,TN,50
Africa/Windhoek,2,-1,NA,51
America/Adak,-10,1,US,52
America/Anchorage,-9,1,US,53
America/Anguilla,-4,0,AI,54
America/Antigua,-4,0,AG,55
America/Araguaina,-3,0,BR,56
America/Argentina/Buenos_Aires,-3,0,AR,57
America/Argentina/Catamarca,-3,0,AR,58
America/Argentina/Cordoba,-3,0,AR,59
America/Argentina/Jujuy,-3,0,AR,60
America/Argentina/La_Rioja,-3,0,AR,61
America/Argentina/Mendoza,-3,0,AR,62
America/Argentina/Rio_Gallegos,-3,0,AR,63
America/Argentina/Salta,-3,0,AR,64
America/Argentina/San_Juan,-3,0,AR,65
America/Argentina/San_Luis,-3,0,AR,66
America/Argentina/Tucuman,-3,0,AR,67
America/Argentina/Ushuaia,-3,0,AR,68
America/Aruba,-4,0,AW,69
America/Asuncion,-3,-1,PY,70
America/Atikokan,-5,0,CA,71
America/Bahia,-3,0,BR,72
America/Bahia_Banderas,-6,1,MX,73
America/Barbados,-4,0,BB,74
America/Belem,-3,0,BR,75
America/Belize,-6,0,BZ,76
America/Blanc-Sablon,-4,0,CA,77
America/Boa_Vista,-4,0,BR,78
America/Bogota,-5,0,CO,79
America/Boise,-7,1,US,80
America/Cambridge_Bay,-7,1,CA,81
America/Campo_Grande,-3,-1,BR,82
America/Cancun,-6,1,MX,83
America/Caracas,-4.5,0,VE,84
America/Cayenne,-3,0,GF,85
America/Cayman,-5,0,KY,86
America/Chicago,-6,1,US,87
America/Chihuahua,-7,1,MX,88
America/Costa_Rica,-6,0,CR,89
America/Creston,-7,0,CA,90
America/Cuiaba,-3,-1,BR,91
America/Curacao,-4,0,CW,92
America/Danmarkshavn,0,0,GL,93
America/Dawson,-8,1,CA,94
America/Dawson_Creek,-7,0,CA,95
America/Denver,-7,1,US,96
America/Detroit,-5,1,US,97
America/Dominica,-4,0,DM,98
America/Edmonton,-7,1,CA,99
America/Eirunepe,-5,0,BR,100
America/El_Salvador,-6,0,SV,101
America/Fortaleza,-3,0,BR,102
America/Glace_Bay,-4,1,CA,103
America/Godthab,-3,1,GL,104
America/Goose_Bay,-4,1,CA,105
America/Grand_Turk,-5,1,TC,106
America/Grenada,-4,0,GD,107
America/Guadeloupe,-4,0,GP,108
America/Guatemala,-6,0,GT,109
America/Guayaquil,-5,0,EC,110
America/Guyana,-4,0,GY,111
America/Halifax,-4,1,CA,112
America/Havana,-5,1,CU,113
America/Hermosillo,-7,0,MX,114
America/Indiana/Indianapolis,-5,1,US,115
America/Indiana/Knox,-6,1,US,116
America/Indiana/Marengo,-5,1,US,117
America/Indiana/Petersburg,-5,1,US,118
America/Indiana/Tell_City,-6,1,US,119
America/Indiana/Vevay,-5,1,US,120
America/Indiana/Vincennes,-5,1,US,121
America/Indiana/Winamac,-5,1,US,122
America/Inuvik,-7,1,CA,123
America/Iqaluit,-5,1,CA,124
America/Jamaica,-5,0,JM,125
America/Juneau,-9,1,US,126
America/Kentucky/Louisville,-5,1,US,127
America/Kentucky/Monticello,-5,1,US,128
America/Kralendijk,-4,0,BQ,129
America/La_Paz,-4,0,BO,130
America/Lima,-5,0,PE,131
America/Los_Angeles,-8,1,US,132
America/Lower_Princes,-4,0,SX,133
America/Maceio,-3,0,BR,134
America/Managua,-6,0,NI,135
America/Manaus,-4,0,BR,136
America/Marigot,-4,0,MF,137
America/Martinique,-4,0,MQ,138
America/Matamoros,-6,1,MX,139
America/Mazatlan,-7,1,MX,140
America/Menominee,-6,1,US,141
America/Merida,-6,1,MX,142
America/Metlakatla,-8,0,US,143
America/Mexico_City,-6,1,MX,144
America/Miquelon,-3,1,PM,145
America/Moncton,-4,1,CA,146
America/Monterrey,-6,1,MX,147
America/Montevideo,-2,-1,UY,148
America/Montserrat,-4,0,MS,149
America/Nassau,-5,1,BS,150
America/New_York,-5,1,US,151
America/Nipigon,-5,1,CA,152
America/Nome,-9,1,US,153
America/Noronha,-2,0,BR,154
America/North_Dakota/Beulah,-6,1,US,155
America/North_Dakota/Center,-6,1,US,156
America/North_Dakota/New_Salem,-6,1,US,157
America/Ojinaga,-7,1,MX,158
America/Panama,-5,0,PA,159
America/Pangnirtung,-5,1,CA,160
America/Paramaribo,-3,0,SR,161
America/Phoenix,-7,0,US,162
America/Port-au-Prince,-5,1,HT,163
America/Port_of_Spain,-4,0,TT,164
America/Porto_Velho,-4,0,BR,165
America/Puerto_Rico,-4,0,PR,166
America/Rainy_River,-6,1,CA,167
America/Rankin_Inlet,-6,1,CA,168
America/Recife,-3,0,BR,169
America/Regina,-6,0,CA,170
America/Resolute,-6,1,CA,171
America/Rio_Branco,-5,0,BR,172
America/Santa_Isabel,-8,1,MX,173
America/Santarem,-3,0,BR,174
America/Santiago,-3,0,CL,175
America/Santo_Domingo,-4,0,DO,176
America/Sao_Paulo,-2,-1,BR,177
America/Scoresbysund,-1,1,GL,178
America/Sitka,-9,1,US,179
America/St_Barthelemy,-4,0,BL,180
